
2012-05-13 15:12:22 000 67.18 1 2 

2012-05-13 15:17:36 000 56.17 1 2 

2012-05-13 16:13:47 000 66.44 1 2 

2012-05-13 16:55:19 000 64.61 1 2 

2012-05-15 11:48:08 000 74.21 1 2 

2012-05-15 13:15:26 000 207.34 1 1 

2012-05-15 14:49:42 000 57.91 1 2 

2012-05-15 13:32:13 000 55.31 1 2 

2012-05-15 13:40:14 000 68.18 1 2 

2012-05-15 13:49:42 000 59.27 1 2 

2012-05-15 17:07:09 000 55.36 1 2 

2012-05-15 17:10:59 000 72.64 1 2 

2012-05-15 01:30:47 000 42.49 1 2 

2012-05-15 01:37:26 000 54.55 1 2 

2012-05-15 08:54:18 000 55.25 1 2 

2012-05-19 01:50:14 000 56.42 1 2 


2012-05-19 08:21:03 000 191.25 1 1 


2012-05-13 11:23:24 001 40.39 1 1 

2012-05-13 15:12:05 001 45.79 1 1 

2012-05-13 15:18:11 001 45.38 1 1 

2012-05-13 15:50:58 001 48.69 1 1 

2012-05-13 16:14:17 001 49.12 1 1 

2012-05-13 16:54:54 001 43.87 1 1 

2012-05-13 16:59:31 001 38.06 1 1 

2012-05-14 05:59:05 001 42.01 1 1 


2012-05-15 11:47:50 001 42.90 1 1 

2012-05-15 11:55:10 001 44.25 1 1 

2012-05-15 12:41:50 001 48.45 1 1 

2012-05-15 12:45:19 001 58.58 1 1 

2012-05-15 13:05:55 001 40.78 1 1 

2012-05-15 13:15:37 001 44.63 1 1 


2012-05-15 14:50:05 001 44.18 1 1 

2012-05-15 15:31:27 001 45.84 1 1 

2012-05-15 15:37:23 001 44.72 1 1 

 

2012-05-15 13:31:50 001 46.20 1 1 

2012-05-15 13:40:38 001 41.63 1 1 

2012-05-15 13:58:45 001 45.34 1 1 

2012-05-15 17:06:49 001 46.19 1 1 

2012-05-15 17:11:15 001 45.85 1 1 


2012-05-15 01:37:58 001 45.01 1 1 

2012-05-15 02:36:41 001 51.78 1 1 

2012-05-19 01:44:38 001 40.88 1 1 

2012-05-19 01:50:46 001 46.92 1 1 

2012-05-19 05:41:31 001 40.04 1 1 

2012-05-19 06:47:27 001 43.02 1 1 

2012-05-19 07:10:47 001 50.88 1 1 

2012-05-19 08:21:48 001 46.69 1 1 

2012-05-19 16:23:11 001 51.67 1 1 


2012-05-13 11:27:31 002 54.01 1 1 

2012-05-13 15:11:59 002 56.45 1 1 

2012-05-13 15:18:26 002 53.48 1 1 

2012-05-13 15:50:48 002 53.69 1 1 

2012-05-13 16:14:32 002 51.30 1 1 

2012-05-13 16:54:45 002 55.57 1 1 

2012-05-14 05:59:26 002 58.57 1 1 

2012-05-14 18:53:53 002 59.60 1 1 

2012-05-15 11:47:44 002 58.22 1 1 

2012-05-15 11:55:26 002 55.99 1 1 

2012-05-15 12:41:41 002 55.10 1 1 


2012-05-15 13:15:45 002 56.36 1 1 

2012-05-15 14:50:18 002 57.00 1 1 

2012-05-15 15:31:18 002 53.18 1 1 

2012-05-15 15:37:31 002 55.45 1 1 

2012-05-15 17:40:35 002 58.54 1 1 

2012-05-15 13:58:55 002 52.43 1 1 

2012-05-15 17:06:40 002 54.38 1 1 

2012-05-15 17:11:26 002 56.62 1 1 


2012-05-15 02:36:29 002 52.17 1 1 

2012-05-15 02:40:30 002 46.49 1 1 

2012-05-15 08:54:01 002 49.90 1 1 

2012-05-19 01:51:01 002 54.27 1 1 

2012-05-19 07:10:36 002 54.04 1 1 

2012-05-19 08:22:14 002 62.16 1 1 

2012-05-19 16:22:44 002 55.25 1 1 

2012-05-20 09:41:51 002 59.89 1 1 


2012-05-12 02:25:17 003 62.01 1 2 

2012-05-12 02:26:32 003 60.87 1 2 

2012-05-13 10:19:42 003 58.43 1 1 

2012-05-13 10:28:56 003 66.56 1 1 

2012-05-13 11:22:22 003 55.46 1 1 

2012-05-13 11:28:15 003 62.15 1 1 

2012-05-13 13:31:50 003 59.78 1 1 

2012-05-13 13:44:54 003 54.19 1 1 


2012-05-13 15:19:20 003 66.92 1 1 

2012-05-13 15:50:11 003 58.60 1 1 

2012-05-13 15:56:36 003 64.18 1 1 

2012-05-13 16:15:32 003 61.71 1 1 

2012-05-13 16:53:53 003 61.39 1 1 

2012-05-13 17:00:36 003 62.58 1 1 


2012-05-14 06:00:32 003 58.63 1 1 
 

2012-05-14 18:59:07 003 62.74 1 1 

2012-05-15 11:47:11 003 53.79 1 1 

2012-05-15 12:40:52 003 66.75 1 1 

2012-05-15 12:46:12 003 63.93 1 1 

2012-05-15 13:05:05 003 66.04 1 1 

2012-05-15 13:16:25 003 61.41 1 1 

2012-05-15 14:40:36 003 62.22 1 1 

2012-05-15 14:51:05 003 61.94 1 1 

2012-05-15 15:30:36 003 63.21 1 1 

2012-05-15 15:38:35 003 67.28 1 1 

2012-05-15 16:56:16 003 64.31 1 1 

2012-05-15 17:02:55 003 59.01 1 1 

2012-05-15 17:40:00 003 59.69 1 1 

2012-05-15 17:46:11 003 63.92 1 1 

2012-05-15 13:31:00 003 61.95 1 2 

2012-05-15 13:42:44 003 63.46 1 2 

2012-05-15 13:44:31 003 61.46 1 1 

2012-05-15 13:59:42 003 62.45 1 1 

2012-05-15 16:00:45 003 62.24 1 1 

2012-05-15 16:11:07 003 60.89 1 1 

2012-05-15 17:05:54 003 61.62 1 1 

2012-05-15 17:12:12 003 60.25 1 1 

2012-05-15 01:29:47 003 62.33 1 1 

2012-05-15 01:39:12 003 62.49 1 1 

2012-05-15 02:35:45 003 64.09 1 1 

2012-05-15 02:41:10 003 56.05 1 1 

2012-05-15 08:53:26 003 53.30 1 1 
 

2012-05-15 16:07:52 003 62.44 1 1 

2012-05-15 16:13:17 003 58.76 1 1 

2012-05-15 18:09:26 003 66.29 1 1 

2012-05-15 18:17:51 003 67.23 1 1 

2012-05-15 18:55:55 003 62.12 1 1 


2012-05-19 16:03:33 003 62.74 1 1 

2012-05-19 16:09:19 003 64.57 1 1 

2012-05-19 01:43:49 003 51.28 1 1 

2012-05-19 01:52:01 003 62.96 1 1 

